#{"t_start": 1760896808.834667, "env_id": "Hopper-v5"}
r,l,t
303.856735,144,14.285151
281.054114,126,14.31395
251.031152,122,14.342466
332.553819,142,14.375204
210.997995,97,14.397687
245.398194,124,14.426353
98.528015,58,14.439562
287.535841,126,14.468307
302.995163,131,14.498458
318.81345,127,15.132939
193.576173,96,15.1571
297.774782,129,15.187246
291.935951,127,15.217429
219.564195,101,15.241093
349.142363,143,15.274085
305.534798,132,15.303825
215.200405,107,15.328655
293.798856,136,15.363675
339.660641,142,15.396201
334.559961,137,15.429226
297.100418,120,15.458055
325.615135,143,15.490754
304.428904,127,15.51926
313.870538,125,15.547601
325.792722,132,15.578822
306.542484,142,16.163546
342.618902,137,16.195789
315.252419,141,16.228491
274.325874,133,16.259816
336.572788,140,16.292022
325.354804,142,16.325026
131.723597,69,16.341084
324.628468,140,16.372957
290.897387,124,16.402003
371.230762,145,16.436219
211.855069,98,16.459387
265.646398,121,16.487387
316.606115,135,16.518925
321.988188,135,16.550594
299.491908,127,16.579999
246.799634,115,16.606718
284.388757,123,16.635184
323.825333,144,17.051396
316.182769,138,17.083313
356.942981,150,17.118387
313.062872,128,17.147312
299.230624,127,17.176612
301.09447,127,17.20556
273.852966,115,17.232246
340.796185,143,17.265047
293.205857,127,17.294342
326.829586,146,17.32807
322.072103,127,17.357162
253.372082,113,17.383378
342.01659,143,17.416291
335.414127,132,17.4465
329.665757,144,17.480071
301.17026,127,17.990949
343.509062,146,18.025795
296.23936,114,18.052296
328.200767,136,18.08543
301.883987,129,18.116641
328.737661,137,18.149544
302.411103,125,18.179249
321.221815,129,18.209836
352.873109,145,18.244116
261.710025,114,18.270371
326.987803,137,18.302542
322.562402,133,18.333112
346.743604,148,18.367777
331.109709,139,18.399663
368.882168,151,18.435666
373.937869,151,18.876234
333.360698,141,18.909467
372.275357,144,18.94375
329.20103,134,18.975521
316.131256,135,19.007137
322.103957,139,19.039333
357.548245,148,19.073756
317.220422,141,19.106545
342.21798,141,19.1392
258.876988,113,19.164852
349.432386,140,19.198136
358.266778,150,19.233408
308.433234,129,19.263359
118.847148,63,19.277759
361.385191,145,19.311199
293.069458,130,19.341385
371.438682,156,19.781988
341.569139,136,19.813677
319.471637,142,19.846643
337.497078,127,19.875667
320.704831,130,19.905242
307.062307,131,19.935332
350.301992,142,19.968165
270.640474,114,19.993961
324.660877,130,20.023774
291.082015,123,20.052656
339.313938,143,20.085865
377.269737,152,20.121197
377.629517,144,20.15379
374.56718,150,20.188697
321.385561,139,20.649585
341.616738,144,20.68391
302.999057,127,20.71419
253.429975,112,20.744381
365.785613,141,20.778422
159.463999,88,20.798661
355.144306,139,20.830904
322.069476,132,20.861293
344.592799,144,20.893952
345.857667,127,20.922497
152.15625,83,20.941548
312.658189,136,20.973309
291.613508,129,21.004266
353.532235,150,21.040756
399.138645,154,21.077812
333.694981,124,21.106632
346.90072,148,21.624064
340.278847,136,21.660201
356.551505,146,21.694685
327.418332,134,21.726417
293.686425,126,21.755656
322.077993,134,21.786825
368.546398,155,21.822692
307.413213,129,21.852305
332.464752,143,21.884961
128.523162,67,21.90011
345.698008,142,21.932278
479.197269,180,21.972786
104.943118,59,21.986101
354.646381,152,22.020191
182.292788,91,22.040987
327.096693,136,22.07175
209.440332,95,23.163491
311.054224,133,23.19496
362.235924,141,23.227041
368.79629,148,23.262003
430.534482,166,23.30008
345.732732,149,23.334836
362.751134,154,23.370585
209.26996,100,23.394464
230.213789,107,23.419685
371.314772,141,23.452491
363.027145,145,23.486137
391.798604,152,23.521247
320.008263,139,23.553659
346.434666,140,23.586703
383.795086,141,23.619589
332.504872,131,24.093796
378.82881,140,24.126164
340.979283,133,24.157161
336.671027,134,24.188735
320.975922,132,24.219506
322.526437,133,24.251317
370.219397,139,24.283137
214.188576,98,24.30641
245.543451,112,24.33286
322.658716,132,24.363817
389.229565,159,24.401313
396.033231,152,24.436945
513.713594,181,24.47847
341.205571,141,24.511413
346.192329,142,24.544914
96.219527,55,24.55789
354.189157,130,25.205169
341.253453,142,25.239033
352.382616,148,25.274271
380.46514,146,25.308461
373.421363,153,25.347669
361.259416,133,25.378833
587.309777,212,25.428134
124.1836,70,25.444468
419.513168,156,25.480412
323.052586,142,25.513398
369.190418,147,25.547306
377.461069,157,25.583285
382.278469,146,25.616888
396.553507,152,25.651689
250.613677,115,26.520878
388.895445,136,26.551919
377.905661,146,26.58615
393.90072,144,26.61889
478.91493,165,26.674374
324.61017,145,26.708225
385.944407,137,26.739828
603.309654,210,26.788041
388.867215,145,26.821191
375.169793,156,26.857943
400.275284,144,26.891489
374.03951,146,26.92741
349.095976,148,26.962892
553.749089,201,27.428316
482.245239,174,27.468909
350.432989,145,27.503209
283.344599,112,27.529692
581.102581,216,27.580131
388.658031,148,27.615011
667.369218,226,27.667652
355.209676,124,27.696394
355.791357,141,27.728727
418.506808,166,27.766792
380.975772,138,27.798078
409.554979,152,27.832771
365.62319,137,27.864132
359.813003,147,28.250149
326.111382,131,28.28032
387.335524,133,28.311117
411.165193,163,28.350877
387.861713,161,28.389676
298.358923,134,28.421733
408.155939,153,28.457451
177.919232,84,28.478443
385.244157,142,28.513469
495.684674,172,28.570696
390.222346,138,28.602482
463.827115,158,28.638583
446.617466,160,28.675654
450.993987,164,28.712896
353.314251,135,29.102087
396.847023,141,29.134852
429.032418,150,29.169331
421.525697,154,29.20457
385.68058,137,29.235933
374.176562,133,29.266521
502.386368,171,29.30654
366.703773,133,29.337562
395.045587,141,29.370125
361.24401,136,29.401967
417.125327,153,29.437225
347.119481,135,29.468098
380.538963,141,29.50069
351.156807,125,29.528933
383.192781,135,29.559418
380.815674,136,30.074451
255.264666,117,30.101639
469.358325,168,30.1399
412.265371,149,30.174134
372.344185,141,30.206261
413.292149,148,30.24044
493.084873,170,30.279321
397.845939,143,30.312513
354.856724,128,30.341744
463.736156,160,30.378355
541.356112,190,30.421639
384.850466,140,30.453592
271.09249,117,30.480229
426.428316,154,30.532024
528.198199,177,31.083641
356.631686,138,31.115397
374.131736,142,31.147762
387.275448,140,31.179939
401.687853,150,31.21463
401.040701,144,31.247485
102.309388,58,31.260884
410.884534,158,31.297355
541.375564,184,31.339389
390.822324,140,31.371947
403.862126,152,31.409515
360.870641,128,31.439908
324.148271,137,31.471901
560.84263,186,31.514514
411.756365,145,31.923736
120.412259,67,31.939046
394.52998,138,31.970819
530.412035,176,32.011268
454.898869,166,32.049511
426.018293,157,32.085839
418.656923,153,32.121694
454.347951,163,32.159482
419.625022,144,32.192004
373.414303,139,32.224068
235.906422,101,32.247047
405.544771,142,32.279365
630.052703,205,32.327482
517.766397,179,32.368318
502.333083,168,32.827872
390.12881,133,32.858289
453.843609,153,32.893037
325.305694,136,32.925291
412.742495,146,32.958642
472.260587,158,32.994505
572.705467,194,33.038495
424.081707,145,33.071102
413.377457,143,33.103778
