#{"t_start": 1760907604.3554823, "env_id": "Humanoid-v5"}
r,l,t
446.470568,85,34.002568
287.948984,55,34.025517
705.490125,144,34.089271
378.924736,72,34.12099
699.979578,133,34.179258
429.427547,82,34.216763
576.262567,109,34.265308
616.707746,113,34.314828
576.353129,117,34.366603
307.442603,59,34.391158
398.05153,74,35.030731
399.025265,77,35.063328
417.246467,78,35.097756
515.618101,114,35.151514
486.507499,105,35.197987
482.339379,106,35.246108
609.875761,110,35.29723
401.54683,88,35.335131
383.0404,90,35.375048
450.645545,88,35.413337
334.197384,64,35.439883
349.707914,66,35.468374
385.779148,79,35.501831
558.836633,106,35.547671
392.873072,74,35.57869
492.29543,94,35.619239
604.910376,116,35.669764
710.252101,134,35.729794
370.911942,70,35.761768
322.87084,63,35.788849
328.122245,72,35.820535
616.906365,114,35.869322
423.103613,86,36.508769
421.873086,81,36.543962
448.747918,90,36.586726
299.82505,59,36.61352
311.462447,73,36.64564
409.931495,77,36.677947
393.355503,79,36.713282
342.792726,70,36.742596
538.391841,108,36.789683
774.351925,142,36.852954
482.936188,90,36.893881
402.393406,83,36.946492
411.83403,83,36.982569
512.09898,93,37.022731
319.395364,63,37.04911
361.022581,82,37.083765
357.058843,67,37.111752
362.683212,81,37.145863
576.951251,124,37.200122
324.9502,71,37.230041
438.43233,92,37.269041
465.061233,88,37.305452
447.280894,92,37.34526
473.492156,95,37.385738
357.374584,67,37.903202
357.707011,67,37.93209
472.22937,89,37.969872
277.359259,54,37.992954
611.513201,120,38.043582
571.24202,111,38.098487
472.360346,90,38.137914
373.403233,71,38.16886
367.154842,68,38.202387
530.616813,113,38.254141
400.49355,76,38.287175
428.053409,82,38.322696
526.815852,99,38.366355
535.077408,100,38.410777
387.452543,74,38.442685
365.330606,71,38.473636
373.82255,71,38.503736
342.996574,65,38.531666
433.071464,81,38.566586
386.264043,89,38.605479
819.81002,160,38.677008
422.491167,79,38.711612
480.332516,90,38.751462
437.387166,82,38.786708
424.288986,81,39.438344
543.971084,99,39.480564
450.946596,82,39.518842
356.630036,71,39.550222
533.338071,99,39.592764
481.001205,91,39.632681
592.367349,118,39.685972
521.021138,99,39.730649
313.348733,67,39.760692
